TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
53,27,25,1,5,5,1,50.94%,47.17%,1.89%,320,513480
53,24,25,4,4,4,1,45.28%,47.17%,7.55%,160,513720
51,24,24,3,6,4,1,47.06%,47.06%,5.88%,160,513890
54,28,23,3,7,4,1,51.85%,42.59%,5.56%,160,514170
54,24,27,3,4,6,1,44.44%,50.00%,5.56%,640,514260
54,23,28,3,5,5,1,42.59%,51.85%,5.56%,320,514490
52,23,24,5,5,6,1,44.23%,46.15%,9.62%,640,514690
54,30,22,2,4,3,1,55.56%,40.74%,3.70%,80,514990
53,26,23,4,6,5,1,49.06%,43.40%,7.55%,320,515240
56,26,22,8,4,5,2,46.43%,39.29%,14.29%,320,515500
54,29,19,6,8,4,1,53.70%,35.19%,11.11%,160,515790
52,20,27,5,3,4,2,38.46%,51.92%,9.62%,160,515840
56,24,28,4,5,5,2,42.86%,50.00%,7.14%,320,516070
51,16,30,5,2,5,2,31.37%,58.82%,9.80%,320,516200
55,21,27,7,3,8,2,38.18%,49.09%,12.73%,2560,516340
57,27,24,6,5,5,2,47.37%,42.11%,10.53%,320,516610
53,26,23,4,4,3,1,49.06%,43.40%,7.55%,80,516840
55,29,19,7,6,5,2,52.73%,34.55%,12.73%,320,517120
54,26,20,8,5,6,2,48.15%,37.04%,14.81%,640,517380
53,27,18,8,4,4,2,50.94%,33.96%,15.09%,160,517650
55,26,24,5,4,4,1,47.27%,43.64%,9.09%,160,517910
53,22,24,7,3,7,2,41.51%,45.28%,13.21%,1280,518130
56,25,23,8,7,3,1,44.64%,41.07%,14.29%,80,518370
55,29,22,4,6,3,1,52.73%,40.00%,7.27%,80,518590
53,31,18,4,8,4,2,58.49%,33.96%,7.55%,160,518870
53,22,27,4,3,3,2,41.51%,50.94%,7.55%,80,519020
54,27,23,4,6,5,2,50.00%,42.59%,7.41%,320,519220
55,29,24,2,7,5,1,52.73%,43.64%,3.64%,320,519510
54,24,20,10,3,3,2,44.44%,37.04%,18.52%,80,519740
52,29,20,3,5,3,1,55.77%,38.46%,5.77%,80,520020
57,27,22,8,4,3,1,47.37%,38.60%,14.04%,80,520290
56,26,25,5,4,5,1,46.43%,44.64%,8.93%,320,520550
55,23,26,6,4,5,3,41.82%,47.27%,10.91%,320,520780
52,26,21,5,8,5,1,50.00%,40.38%,9.62%,320,521030
55,30,20,5,10,5,1,54.55%,36.36%,9.09%,320,521330
55,24,27,4,4,6,1,43.64%,49.09%,7.27%,640,521540
52,22,23,7,5,4,2,42.31%,44.23%,13.46%,160,521760
52,27,24,1,3,3,1,51.92%,46.15%,1.92%,80,522030
53,20,29,4,3,4,2,37.74%,54.72%,7.55%,160,522160
54,23,25,6,4,4,3,42.59%,46.30%,11.11%,160,522360
55,29,23,3,5,3,1,52.73%,41.82%,5.45%,80,522650
53,23,27,3,5,6,2,43.40%,50.94%,5.66%,640,522880
56,27,25,4,6,7,1,48.21%,44.64%,7.14%,1280,523000
53,20,27,6,5,4,3,37.74%,50.94%,11.32%,160,523190
54,18,31,5,5,7,1,33.33%,57.41%,9.26%,1280,523360
53,21,24,8,3,4,3,39.62%,45.28%,15.09%,160,523570
55,29,22,4,5,3,1,52.73%,40.00%,7.27%,80,523790
55,24,24,7,5,6,1,43.64%,43.64%,12.73%,640,524030
54,25,24,5,4,4,2,46.30%,44.44%,9.26%,160,524270
53,23,25,5,5,5,1,43.40%,47.17%,9.43%,320,524500
54,25,25,4,6,5,1,46.30%,46.30%,7.41%,320,524600
55,30,23,2,8,4,1,54.55%,41.82%,3.64%,160,524830
54,23,28,3,5,10,1,42.59%,51.85%,5.56%,10240,524990
54,27,25,2,5,4,1,50.00%,46.30%,3.70%,160,525260
53,31,20,2,4,4,1,58.49%,37.74%,3.77%,160,525570
58,35,21,2,6,4,1,60.34%,36.21%,3.45%,160,525920
